Sr No.,Items
1,Apple 
2,boy
3,cup
4,dot
5,egg
6,fan
7,gun
8,hat
9,ice
10,jug
11,kite
12,lemon
13,mango
14,nut
15,orange
16,pot
17,quilt
18,rug
19,soap
20,top
21,umbrella
22,van
23,watch
24,window
25,xylophone
26,yatch
27,zip
28,apricot
29,ball
30,carrot
31,doll
32,enzymes
33,cell
34,pan
35,saucer
36,tank
37,bank
38,balloon
39,cake
40,shake
41,pizza
42,burger
43,bag
44,polythene
45,sheet
46,bed
47,pillow
48,blanket
49,chair
50,table
51,book
52,bottle
53,straw
54,pen
55,eraser
56,pencil
57,sharpener
58,scale
59,compass
60,mobile
61,laptop
62,cover
63,scarf
64,jeans
65,shirt
66,tent
67,skirt
68,oil
69,hair
70,legs
71,melons
72,pasta
73,door
74,cheese
75,lock
76,keys
77,almirah
78,bangles
79,shoes
80,socks
81,spinach
82,floor
83,cartoon
84,tv
85,box
86,dustbin
87,snacks
88,packet
89,knife
90,fork
91,spoon
92,popcorn
93,kitchen
94,room
95,hostel
96,racket
97,net
98,basket
99,trees
100,plants
101,flower
102,den
103,water
104,caves
105,food
106,ring
107,pyjamas
108,pins
109,brush
110,teeth
111,toothpaste
112,shampoo
113,cooler
114,kettle
115,calendar
116,curtain
117,mirror
118,leaves
119,roots
120,potato
121,couch
122,sofa
123,mattress
124,tube
125,light
126,battery
127,soda
128,thread
129,nail
130,hammer
131,wire
132,comb
133,paper
134,iron
135,metal
136,salt
137,pool
138,soccer
139,sponge
140,socket
141,switch
142,cane
143,stick
144,cash
145,notes
146,bullet
147,bike
148,scooter
149,car
150,airplane
151,earphone
152,duster
153,chalk
154,blackboard
155,marker
156,walnut
157,suit
158,river
159,sea
160,ocean
161,sugar
162,register
